Temmuz 2026;;;;;;;;;;;;;;;;;;
Marka Kodu;Tip Kodu;Marka Adı;Tip Adı;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
3;210;ALFA ROMEO;MITO 1.4 TB (155) DISTINCTIVE 3 KAPI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513569
3;212;ALFA ROMEO;MITO 1.6 JTD (120) DISTINCTIVE 3 KAPI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;537732
3;215;ALFA ROMEO;159 1.8 TBI (200) NEW DISTINCTIVE PLUS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696370
3;216;ALFA ROMEO;MITO 1.4 TB MULTIAIR 170 QUAD.VERDE 3K;0;0;0;0;0;0;0;0;0;0;0;0;0;611757;588902
3;217;ALFA ROMEO;GIULIETTA 1.4 TB 120 PROGRESSION PLUS;0;0;0;0;0;0;0;0;0;0;0;727001;600775;578020;516288
3;218;ALFA ROMEO;GIULIETTA 1.4 TB 120 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;613083
3;219;ALFA ROMEO;GIULIETTA 1.4 TB MULTIAIR 170 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;679438;640875
3;220;ALFA ROMEO;GIULIETTA 1.6 JTD 105 PROGRESSION PLUS;0;0;0;0;0;0;0;0;0;0;0;773223;697265;656593;602590
3;221;ALFA ROMEO;GIULIETTA 1.6 JTD 105 DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0;820223;766386;694945;647657
3;222;ALFA ROMEO;GIULIETTA 1.750 TB 235 QUAGRIFOGLIO VERDE;0;0;0;0;0;0;0;0;0;0;0;0;0;992449;883259
3;224;ALFA ROMEO;MITO 1.4 TB MULTIAIR (135) TCT CITY;0;0;0;0;0;0;0;0;0;0;0;0;0;607118;516479
3;225;ALFA ROMEO;MITO 1.4 TB MULTIAIR (135) TCT SPORTIVO;0;0;0;0;0;0;0;0;0;0;0;0;0;607118;516479
3;226;ALFA ROMEO;MITO 1.4 TB MULTIAR (135) TCT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516479
3;1001;ALFA ROMEO;GIULIETTA 1.4 TB M.AIR 170 TCT PROG.PLU;0;0;0;0;0;0;0;0;0;0;0;0;0;736835;649791
3;1002;ALFA ROMEO;GIULIETTA 1.4 TB M.AIR 170 TCT DISTINCTIVE;0;0;0;0;0;0;0;0;0;0;0;995351;828698;820410;812856
3;1003;ALFA ROMEO;GIULIETTA 1.4 TB MULTIAIR (170);0;0;0;0;0;0;0;0;0;0;0;0;0;0;564425
3;1004;ALFA ROMEO;MITO 1.3 JTD (95) CITY;0;0;0;0;0;0;0;0;0;0;0;0;588902;562981;514883
3;1005;ALFA ROMEO;4C LAUNCH EDITION 1.750 TB 240 TCT;0;0;0;0;0;0;0;0;0;0;0;2611364;2082976;0;0
3;1007;ALFA ROMEO;GIULIETTA 1.8 TBI 240 TCT QV;0;0;0;0;0;0;0;0;0;0;0;1442467;1312163;0;0
3;1008;ALFA ROMEO;MITO 1.3 JTD (85) CITY;0;0;0;0;0;0;0;0;0;0;0;524133;459539;0;0
3;1012;ALFA ROMEO;MITO 1.4 170 3 KAPI QV TCT S2;0;0;0;0;0;0;0;0;0;0;0;808632;0;0;0
3;1013;ALFA ROMEO;GIULIETTA  1.6 JTD 120 PROGRESSION;0;0;0;0;0;0;0;0;879450;869247;836775;769836;0;0;0
3;1014;ALFA ROMEO;GIULIETTA 1.6 JTDM 120 PROGRESSION TCT;0;0;0;0;0;0;0;0;1112669;1016310;978357;0;0;0;0
3;1015;ALFA ROMEO;GIULIETTA 1.6 JTDM 120 SUPER TCT;0;0;0;0;0;0;0;1270946;1258237;1156035;1019989;0;0;0;0
3;1016;ALFA ROMEO;GIULIETTA 1.4 TB MULTIAIR  170 SUPER TCT;0;0;0;0;0;0;0;0;1201918;1088113;1045890;0;0;0;0
